model_id,profile,budget,avg_points,model_label
MiniMaxAI/MiniMax-M2.1-TEE,simple-baseline,240,1.0,MiniMax-M2.1-TEE
MiniMaxAI/MiniMax-M2.1-TEE,good-baseline,600,0.8333333333333333,MiniMax-M2.1-TEE
MiniMaxAI/MiniMax-M2.1-TEE,sota-xgb,1200,0.9166666666666666,MiniMax-M2.1-TEE
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,simple-baseline,240,0.2222222222222222,Qwen3-Coder-480B-A35B-Instruct-FP8
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,good-baseline,600,0.6944444444444444,Qwen3-Coder-480B-A35B-Instruct-FP8
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,sota-xgb,1200,0.7222222222222222,Qwen3-Coder-480B-A35B-Instruct-FP8
deepseek-ai/DeepSeek-V3.1-Terminus,simple-baseline,240,0.5,DeepSeek-V3.1-Terminus
deepseek-ai/DeepSeek-V3.1-Terminus,good-baseline,600,0.38888888888888884,DeepSeek-V3.1-Terminus
deepseek-ai/DeepSeek-V3.1-Terminus,sota-xgb,1200,0.7777777777777778,DeepSeek-V3.1-Terminus
mistralai/Devstral-2-123B-Instruct-2512-TEE,simple-baseline,240,0.4722222222222222,Devstral-2-123B-Instruct-2512-TEE
mistralai/Devstral-2-123B-Instruct-2512-TEE,good-baseline,600,0.5555555555555556,Devstral-2-123B-Instruct-2512-TEE
mistralai/Devstral-2-123B-Instruct-2512-TEE,sota-xgb,1200,0.5277777777777778,Devstral-2-123B-Instruct-2512-TEE
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,simple-baseline,240,0.3055555555555555,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,good-baseline,600,0.2222222222222222,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,sota-xgb,1200,0.16666666666666666,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
openai/gpt-oss-120b-TEE,simple-baseline,240,0.3333333333333333,gpt-oss-120b-TEE
openai/gpt-oss-120b-TEE,good-baseline,600,0.3888888888888889,gpt-oss-120b-TEE
openai/gpt-oss-120b-TEE,sota-xgb,1200,0.3888888888888889,gpt-oss-120b-TEE
tngtech/DeepSeek-TNG-R1T2-Chimera,simple-baseline,240,0.16666666666666666,DeepSeek-TNG-R1T2-Chimera
tngtech/DeepSeek-TNG-R1T2-Chimera,good-baseline,600,0.1111111111111111,DeepSeek-TNG-R1T2-Chimera
tngtech/DeepSeek-TNG-R1T2-Chimera,sota-xgb,1200,0.2222222222222222,DeepSeek-TNG-R1T2-Chimera
zai-org/GLM-4.6-FP8,simple-baseline,240,0.6944444444444444,GLM-4.6-FP8
zai-org/GLM-4.6-FP8,good-baseline,600,0.3333333333333333,GLM-4.6-FP8
zai-org/GLM-4.6-FP8,sota-xgb,1200,0.6388888888888888,GLM-4.6-FP8
zai-org/GLM-4.7-FP8,simple-baseline,240,0.6666666666666666,GLM-4.7-FP8
zai-org/GLM-4.7-FP8,good-baseline,600,0.8333333333333333,GLM-4.7-FP8
zai-org/GLM-4.7-FP8,sota-xgb,1200,0.5277777777777778,GLM-4.7-FP8
zai-org/GLM-4.7-Flash,simple-baseline,240,0.6388888888888888,GLM-4.7-Flash
zai-org/GLM-4.7-Flash,good-baseline,600,0.6388888888888888,GLM-4.7-Flash
zai-org/GLM-4.7-Flash,sota-xgb,1200,0.1111111111111111,GLM-4.7-Flash
