model_id,competition_id,points,rank,model_label
MiniMaxAI/MiniMax-M2.1-TEE,bank-customer-churn-ict-u-ai,1.0,1.0,MiniMax-M2.1-TEE
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,bank-customer-churn-ict-u-ai,1.0,1.0,Qwen3-Coder-480B-A35B-Instruct-FP8
openai/gpt-oss-120b-TEE,bank-customer-churn-ict-u-ai,1.0,1.0,gpt-oss-120b-TEE
zai-org/GLM-4.6-FP8,bank-customer-churn-ict-u-ai,0.986773358437278,4.0,GLM-4.6-FP8
mistralai/Devstral-2-123B-Instruct-2512-TEE,bank-customer-churn-ict-u-ai,0.977406329083799,5.0,Devstral-2-123B-Instruct-2512-TEE
zai-org/GLM-4.7-Flash,bank-customer-churn-ict-u-ai,0.9737491372676574,6.0,GLM-4.7-Flash
deepseek-ai/DeepSeek-V3.1-Terminus,bank-customer-churn-ict-u-ai,0.9720812107438385,7.0,DeepSeek-V3.1-Terminus
zai-org/GLM-4.7-FP8,bank-customer-churn-ict-u-ai,0.9675833484152154,8.0,GLM-4.7-FP8
tngtech/DeepSeek-TNG-R1T2-Chimera,bank-customer-churn-ict-u-ai,0.9464350880732469,9.0,DeepSeek-TNG-R1T2-Chimera
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,bank-customer-churn-ict-u-ai,0.9182042833607905,10.0,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
MiniMaxAI/MiniMax-M2.1-TEE,foot-traffic-wuerzburg-retail-forecasting-2-0,1.0,1.0,MiniMax-M2.1-TEE
deepseek-ai/DeepSeek-V3.1-Terminus,foot-traffic-wuerzburg-retail-forecasting-2-0,0.9958281888057785,2.0,DeepSeek-V3.1-Terminus
zai-org/GLM-4.6-FP8,foot-traffic-wuerzburg-retail-forecasting-2-0,0.9840896739933861,3.0,GLM-4.6-FP8
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,foot-traffic-wuerzburg-retail-forecasting-2-0,0.9815680609320881,4.0,Qwen3-Coder-480B-A35B-Instruct-FP8
zai-org/GLM-4.7-FP8,foot-traffic-wuerzburg-retail-forecasting-2-0,0.9780545519821745,5.0,GLM-4.7-FP8
zai-org/GLM-4.7-Flash,foot-traffic-wuerzburg-retail-forecasting-2-0,0.9621501595120213,6.0,GLM-4.7-Flash
mistralai/Devstral-2-123B-Instruct-2512-TEE,foot-traffic-wuerzburg-retail-forecasting-2-0,0.9549065329775287,7.0,Devstral-2-123B-Instruct-2512-TEE
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,foot-traffic-wuerzburg-retail-forecasting-2-0,0.6363230189106249,8.0,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
openai/gpt-oss-120b-TEE,foot-traffic-wuerzburg-retail-forecasting-2-0,0.6327103736326591,9.0,gpt-oss-120b-TEE
tngtech/DeepSeek-TNG-R1T2-Chimera,foot-traffic-wuerzburg-retail-forecasting-2-0,0.6024942250460285,10.0,DeepSeek-TNG-R1T2-Chimera
MiniMaxAI/MiniMax-M2.1-TEE,playground-series-s5e10,1.0,1.0,MiniMax-M2.1-TEE
zai-org/GLM-4.6-FP8,playground-series-s5e10,1.0,1.0,GLM-4.6-FP8
zai-org/GLM-4.7-Flash,playground-series-s5e10,0.9946640112623898,3.0,GLM-4.7-Flash
deepseek-ai/DeepSeek-V3.1-Terminus,playground-series-s5e10,0.9926997173018655,4.0,DeepSeek-V3.1-Terminus
zai-org/GLM-4.7-FP8,playground-series-s5e10,0.9907054075604271,5.0,GLM-4.7-FP8
mistralai/Devstral-2-123B-Instruct-2512-TEE,playground-series-s5e10,0.9768277049456425,6.0,Devstral-2-123B-Instruct-2512-TEE
openai/gpt-oss-120b-TEE,playground-series-s5e10,0.956407742849846,7.0,gpt-oss-120b-TEE
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,playground-series-s5e10,0.915192677819061,8.0,Qwen3-Coder-480B-A35B-Instruct-FP8
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,playground-series-s5e10,0.8149727384819692,9.0,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
tngtech/DeepSeek-TNG-R1T2-Chimera,playground-series-s5e10,0.5310171005873522,10.0,DeepSeek-TNG-R1T2-Chimera
MiniMaxAI/MiniMax-M2.1-TEE,playground-series-s6e1,1.0,1.0,MiniMax-M2.1-TEE
zai-org/GLM-4.7-FP8,playground-series-s6e1,1.0,1.0,GLM-4.7-FP8
zai-org/GLM-4.7-Flash,playground-series-s6e1,0.9863492049446014,3.0,GLM-4.7-Flash
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,playground-series-s6e1,0.9666990587875437,4.0,Qwen3-Coder-480B-A35B-Instruct-FP8
openai/gpt-oss-120b-TEE,playground-series-s6e1,0.9432469397759692,5.0,gpt-oss-120b-TEE
zai-org/GLM-4.6-FP8,playground-series-s6e1,0.9401321886423498,6.0,GLM-4.6-FP8
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,playground-series-s6e1,0.8060845384992257,7.0,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
deepseek-ai/DeepSeek-V3.1-Terminus,playground-series-s6e1,0.8031553509027826,8.0,DeepSeek-V3.1-Terminus
mistralai/Devstral-2-123B-Instruct-2512-TEE,playground-series-s6e1,0.754577503915179,9.0,Devstral-2-123B-Instruct-2512-TEE
tngtech/DeepSeek-TNG-R1T2-Chimera,playground-series-s6e1,0.6919100015148945,10.0,DeepSeek-TNG-R1T2-Chimera
