model_id,profile,budget,avg_points,model_label
MiniMaxAI/MiniMax-M2.1-TEE,simple-baseline,240,1.0,MiniMax-M2.1-TEE
MiniMaxAI/MiniMax-M2.1-TEE,good-baseline,600,0.9883323273835429,MiniMax-M2.1-TEE
MiniMaxAI/MiniMax-M2.1-TEE,sota-xgb,1200,0.9918301994471029,MiniMax-M2.1-TEE
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,simple-baseline,240,0.6462461257510322,Qwen3-Coder-480B-A35B-Instruct-FP8
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,good-baseline,600,0.8623925509225602,Qwen3-Coder-480B-A35B-Instruct-FP8
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,sota-xgb,1200,0.8510788634818842,Qwen3-Coder-480B-A35B-Instruct-FP8
deepseek-ai/DeepSeek-V3.1-Terminus,simple-baseline,240,0.7258563671667986,DeepSeek-V3.1-Terminus
deepseek-ai/DeepSeek-V3.1-Terminus,good-baseline,600,0.8767926195757365,DeepSeek-V3.1-Terminus
deepseek-ai/DeepSeek-V3.1-Terminus,sota-xgb,1200,0.9339986693075403,DeepSeek-V3.1-Terminus
mistralai/Devstral-2-123B-Instruct-2512-TEE,simple-baseline,240,0.742932401476149,Devstral-2-123B-Instruct-2512-TEE
mistralai/Devstral-2-123B-Instruct-2512-TEE,good-baseline,600,0.8990187707682027,Devstral-2-123B-Instruct-2512-TEE
mistralai/Devstral-2-123B-Instruct-2512-TEE,sota-xgb,1200,0.8766609836273145,Devstral-2-123B-Instruct-2512-TEE
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,simple-baseline,240,0.5840190175386185,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,good-baseline,600,0.4280320335791031,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,sota-xgb,1200,0.3239810480484162,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
openai/gpt-oss-120b-TEE,simple-baseline,240,0.5904955881464715,gpt-oss-120b-TEE
openai/gpt-oss-120b-TEE,good-baseline,600,0.6074095067366635,gpt-oss-120b-TEE
openai/gpt-oss-120b-TEE,sota-xgb,1200,0.5662575612160264,gpt-oss-120b-TEE
tngtech/DeepSeek-TNG-R1T2-Chimera,simple-baseline,240,0.17297750037872361,DeepSeek-TNG-R1T2-Chimera
tngtech/DeepSeek-TNG-R1T2-Chimera,good-baseline,600,0.12928317956246022,DeepSeek-TNG-R1T2-Chimera
tngtech/DeepSeek-TNG-R1T2-Chimera,sota-xgb,1200,0.6184019498058486,DeepSeek-TNG-R1T2-Chimera
zai-org/GLM-4.6-FP8,simple-baseline,240,0.7781864950721429,GLM-4.6-FP8
zai-org/GLM-4.6-FP8,good-baseline,600,0.6898485360050582,GLM-4.6-FP8
zai-org/GLM-4.6-FP8,sota-xgb,1200,0.9525507023202364,GLM-4.6-FP8
zai-org/GLM-4.7-FP8,simple-baseline,240,0.9577858987844398,GLM-4.7-FP8
zai-org/GLM-4.7-FP8,good-baseline,600,0.9747569548970305,GLM-4.7-FP8
zai-org/GLM-4.7-FP8,sota-xgb,1200,0.8352673299001008,GLM-4.7-FP8
zai-org/GLM-4.7-Flash,simple-baseline,240,0.8745310912645983,GLM-4.7-Flash
zai-org/GLM-4.7-Flash,good-baseline,600,0.9501559520912058,GLM-4.7-Flash
zai-org/GLM-4.7-Flash,sota-xgb,1200,0.2524379720667962,GLM-4.7-Flash
