model_id,model_label,gain_240_to_600,gain_600_to_1200
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,Qwen3-Coder-480B-A35B-Instruct-FP8,0.21614642517152793,-0.011313687440675957
mistralai/Devstral-2-123B-Instruct-2512-TEE,Devstral-2-123B-Instruct-2512-TEE,0.15608636929205366,-0.022357787140888208
deepseek-ai/DeepSeek-V3.1-Terminus,DeepSeek-V3.1-Terminus,0.15093625240893793,0.057206049731803765
zai-org/GLM-4.7-Flash,GLM-4.7-Flash,0.07562486082660758,-0.6977179800244097
zai-org/GLM-4.7-FP8,GLM-4.7-FP8,0.016971056112590754,-0.13948962499692974
openai/gpt-oss-120b-TEE,gpt-oss-120b-TEE,0.01691391859019198,-0.04115194552063706
MiniMaxAI/MiniMax-M2.1-TEE,MiniMax-M2.1-TEE,-0.01166767261645707,0.0034978720635600036
tngtech/DeepSeek-TNG-R1T2-Chimera,DeepSeek-TNG-R1T2-Chimera,-0.0436943208162634,0.4891187702433884
zai-org/GLM-4.6-FP8,GLM-4.6-FP8,-0.08833795906708464,0.2627021663151782
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,-0.15598698395951544,-0.10405098553068687
