run_id,created_at,competition_id,status,provider,model_id,mode,prompt_profile,temperature,max_tokens,metric_name,score_raw,score_normalized,secondary_r2,runtime_seconds,budget_time_seconds,seed,submission_sha256,normalized_submission_sha256,time_used_frac
bank-customer-churn-ict-u-ai_02485a597f9e,2026-01-28T19:25:49-08:00,bank-customer-churn-ict-u-ai,success,chutes,deepseek-ai/DeepSeek-V3.1-Terminus,,sota-xgb,,,auc,0.929019106543267,0.929019106543267,,924.470834,1200,1678375105,6044c0e9211ef72b…,6044c0e9211ef72b…,0.7704
bank-customer-churn-ict-u-ai_7a575bff25dc,2026-01-28T17:00:16-08:00,bank-customer-churn-ict-u-ai,success,chutes,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,,sota-xgb,,,auc,0.927672615090931,0.927672615090931,,1202.703069,1200,656919712,835b73310e328ad4…,835b73310e328ad4…,1.0023
bank-customer-churn-ict-u-ai_f40464f52109,2026-01-28T14:50:49-08:00,bank-customer-churn-ict-u-ai,success,chutes,zai-org/GLM-4.6-FP8,,simple-baseline,,,auc,0.926876992040361,0.926876992040361,,241.684628,240,1677970148,bd415e2f005c2820…,6582699dc8463543…,1.007
bank-customer-churn-ict-u-ai_86a983e711b1,2026-01-28T15:24:35-08:00,bank-customer-churn-ict-u-ai,success,chutes,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,,good-baseline,,,auc,0.926247720338839,0.926247720338839,,301.142046,600,601455753,11fef89f29e7cdd1…,89f6f919793285fa…,0.5019
bank-customer-churn-ict-u-ai_eaf2153bd79d,2026-01-28T15:29:35-08:00,bank-customer-churn-ict-u-ai,success,chutes,deepseek-ai/DeepSeek-V3.1-Terminus,,good-baseline,,,auc,0.924721242180975,0.924721242180975,,601.29086,600,1127084023,7448c5fdd4df36e7…,d3f5f1a35f31c5a0…,1.0022
bank-customer-churn-ict-u-ai_a4c1bbc4cc33,2026-01-28T14:50:27-08:00,bank-customer-churn-ict-u-ai,success,chutes,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,,simple-baseline,,,auc,0.920887661706806,0.920887661706806,,218.791049,240,460111702,5bdd0ee756adc3a2…,6de95371afbc6c72…,0.9116
bank-customer-churn-ict-u-ai_64489022f46d,2026-01-28T15:24:39-08:00,bank-customer-churn-ict-u-ai,success,chutes,zai-org/GLM-4.6-FP8,,good-baseline,,,auc,0.920332020930272,0.920332020930272,,304.897573,600,1353379321,34f86bdc75cac1cc…,65ce92add2219303…,0.5082
bank-customer-churn-ict-u-ai_5c34f4c4e535,2026-01-28T17:00:14-08:00,bank-customer-churn-ict-u-ai,success,chutes,zai-org/GLM-4.6-FP8,,sota-xgb,,,auc,0.902374938214791,0.902374938214791,,1200.44076,1200,979517015,ef0998c20dc7dc49…,f67f90b62d8d9fae…,1.0004
bank-customer-churn-ict-u-ai_23cf6220019d,2026-01-28T15:34:35-08:00,bank-customer-churn-ict-u-ai,success,chutes,microsoft/Phi-3.5-mini-instruct,,good-baseline,,,auc,0.706664621363195,0.706664621363195,,600.277404,600,1780538328,c1ad704110ded018…,4f386f5abb955188…,1.0005
bank-customer-churn-ict-u-ai_b9b24aa0da08,2026-01-28T22:20:41-08:00,bank-customer-churn-ict-u-ai,timeout,nanogpt,mistralai/devstral-2-123b-instruct-2512,,sota-xgb,,,,,,,1203.238518,1200,453207135,,,1.0027
bank-customer-churn-ict-u-ai_67ba4bef48d8,2026-01-28T22:20:40-08:00,bank-customer-churn-ict-u-ai,timeout,nanogpt,qwen/qwen3-next-80b-a3b-thinking,,sota-xgb,,,,,,,1202.247394,1200,525653545,,,1.0019
bank-customer-churn-ict-u-ai_216f4109ddff,2026-01-28T22:00:38-08:00,bank-customer-churn-ict-u-ai,timeout,chutes,meta-llama/Meta-Llama-3.1-8B-Instruct,,sota-xgb,,,,,,,1202.007711,1200,1953198942,,,1.0017
bank-customer-churn-ict-u-ai_751f6ed8351c,2026-01-28T22:00:38-08:00,bank-customer-churn-ict-u-ai,timeout,chutes,microsoft/Phi-3.5-mini-instruct,,sota-xgb,,,,,,,1202.160186,1200,1441495602,,,1.0018
bank-customer-churn-ict-u-ai_8a86d21c18a7,2026-01-28T22:00:38-08:00,bank-customer-churn-ict-u-ai,timeout,nanogpt,deepseek/deepseek-v3.2,,sota-xgb,,,,,,,1202.268331,1200,2147296279,,,1.0019
